id,order_number,portal,total_amount,created_at
edeb8c6e-183e-4c77-ae7a-2f8fd3862429,"MSH-1779634765465-uoqg",meesho,0,2026-05-24T14:59:25.465+00:00
8734474e-3995-44ae-86f9-277804abb377,"39697930XIJDB58EBA",firstcry,0,2026-05-15T12:48:45.250424+00:00
6f0cd337-bde7-45a5-8d4b-c4f35d354b4a,"41090876FSI3AFA3E6",firstcry,0,2026-05-15T12:48:45.77064+00:00
6da9d8af-8812-4c7b-b469-bb2e4bf0c017,"MSH-1779634765465-9sun",meesho,0,2026-05-24T14:59:25.465+00:00
e619bcaf-b61d-49bc-9cee-c3667e2f1bcc,"MSH-1779634765465-tj1b",meesho,0,2026-05-24T14:59:25.465+00:00
23eb792f-73e7-4fa7-aa6d-2a3c8fb30a12,"18427032TYOE59F761",firstcry,0,2026-05-15T12:48:43.296621+00:00
cd1b5e34-81e2-4949-a05f-42a045a687a9,"40674920KMS26F4D9B",firstcry,0,2026-05-15T12:48:45.171829+00:00
c9b3dc4e-c43b-4fdc-92e0-30c3d4aaff61,"MSH-1779634765603-2y75",meesho,0,2026-05-24T14:59:25.603+00:00
f620c126-8cad-4612-a58e-9ca1edf17253,"37273662FPJBB5FC63",firstcry,0,2026-05-15T12:48:44.236701+00:00
8dedaa45-4f4e-4bb9-a8ad-b85f030bf79b,"39043416FHC5C357ED",firstcry,0,2026-05-15T12:48:44.956256+00:00
a6f97f2f-8f20-485a-afed-eaa95df8ab7a,"MSH-1779634765604-19n5",meesho,0,2026-05-24T14:59:25.604+00:00
e87d2ede-a643-4d41-aa9a-bfd08273130a,"40032611TYFDAE673A",firstcry,0,2026-05-15T12:48:44.562549+00:00
cb38dd91-5d0e-4d3d-842a-4f5cee998926,"MSH-1779634765604-h7dy",meesho,0,2026-05-24T14:59:25.604+00:00
202d2205-51be-432e-b96e-3d5dd3cfe6f0,"MSH-1779634765604-oc0d",meesho,0,2026-05-24T14:59:25.604+00:00
6d767a6b-eb0e-488e-a0e5-ba9c1dbe5874,"MSH-1779634765604-2hi9",meesho,0,2026-05-24T14:59:25.604+00:00
e11c3f11-d869-48d5-89f3-1cbcb068fc26,"MSH-1779634765604-ckl6",meesho,0,2026-05-24T14:59:25.604+00:00
e652537f-4a56-4c3d-8657-58b1ac4b2381,"MSH-1779634765604-btmv",meesho,0,2026-05-24T14:59:25.604+00:00
b9437732-bcac-4bb6-9bea-90ff91e9a2f8,"MSH-1779634765604-8ozl",meesho,0,2026-05-24T14:59:25.604+00:00
543d0029-5a06-47d8-be8d-d4a26aab4403,"MSH-1779634765604-g2u0",meesho,0,2026-05-24T14:59:25.604+00:00
6b8f2603-190e-4da1-82eb-56a2fb677de9,"MSH-1779634765604-9k7a",meesho,0,2026-05-24T14:59:25.604+00:00
9757d3df-45b7-4c85-87f3-477047be620a,"MSH-1779634765604-xnuo",meesho,0,2026-05-24T14:59:25.604+00:00
