Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,FBA Weight Handling Fee per unit,FBA Weight Handling Fee quantity,FBA Weight Handling Fee total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLFN31B,,DUP-PPLRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07NY3L66L,,DUP-ppRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07NLFJP55,B07NLFJP55,,DUP-PPRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07NZ293RN,,DUP-PRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P13KR4W,,DUP-PRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07NLFLSK6,B07NLFLSK6,,DUP-PRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B07P13S8H6,,DUP-RBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5SFDJY,B07P3JTBCL,,DUP-RELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5V9CB6,B07NLFYVQL,,DUP-RLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07K6FP4J9,B0721SDBV2,,DUP-SKU22177,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S6GRX,B071XC7S5K,,DUP-SKU22179,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07NLFBLWY,B07NLFBLWY,,DUP-TRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5RLDPX,B07NLFND23,,DUP-TRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S8ZBK,B073F8VKH9,,DUP- Wedge02,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S8ZBK,B07NKSDNRC,,DUP-Wedge03,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B0DG5S8ZBK,B07NKSDNRC,,DUP- Wedge03,INR,570.48,11,3,8,6275.28,4563.84,40.12,11.0,441.32,,,,264.32,12.0,3171.84,-56.55,3.0,-169.65,25.704545,11.0,282.75,3.206408,245.0,785.57,,,52.01,6.50125
IN,11/01/2025,11/30/2025,B01LCM4NB6,B01LCM4NB6,,DUP-Wedgeo1,INR,570.48,1,0,1,570.48,570.48,,,,,,,,,,,,,,,,,,,,,570.48,570.48
IN,11/01/2025,11/30/2025,B0DG5SQ1T1,B07S95D5PS,,DUP-Wedgeo4,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
IN,11/01/2025,11/30/2025,B07K6FP4J9,B01LCM4KHS,,Feeding04,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
