Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales, per unit, quantity, total,Manufacturer-Fulfilled Postage Fee per unit,Manufacturer-Fulfilled Postage Fee quantity,Manufacturer-Fulfilled Postage Fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Cost of goods sold per unit,Miscellaneous cost per unit,Net proceeds total,Net proceeds per net unit sold
IN,12/01/2025,12/31/2025,B09SYYLMX9,B09SYYLMX9,,Blue Star Head Pillow with Bolster,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5RZRL3,B07HX47XN2,,BNB2217CBB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B072KMS8CZ,B072KMS8CZ,,BSCB221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SFDJY,B07NYCKFPF,,CBELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLG1JLL,B07NLG1JLL,,CBHMFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07NZ1GG98,,CBRFP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07P13BXZX,,CBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,2.985,2.0,5.97,,,-5.97,
IN,12/01/2025,12/31/2025,B07NLG2RWW,B07NLG2RWW,,CBRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLGQG9Y,B07NLGQG9Y,,CBRP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SW8HY,B0C8PTH3QF,,CRODA227-B,INR,669.303571,196,27,169,131183.5,113158.79,112.1,8.0,896.8,143.284336,220.0,31522.554,,,,0.0,195.0,0.0,4.602255,918.0,4224.87,,,68691.166,406.456604
IN,12/01/2025,12/31/2025,B0DG5SW8HY,B0C8PVTTRR,,CRODA227-P,INR,668.901087,92,16,76,61538.9,50902.74,112.1,6.0,672.6,143.177653,95.0,13601.877,-57.65,3.0,-172.95,0.0,92.0,0.0,4.616382,398.0,1837.32,,,31272.853,411.484908
IN,12/01/2025,12/31/2025,B0DG5SW8HY,B0C8PQYQPX,,CRODS227,INR,283.8064,25,5,20,7095.16,5676.13,53.1,1.0,53.1,59.56436,25.0,1489.109,,,,,,,4.450323,124.0,551.84,,,3405.081,170.25405
IN,12/01/2025,12/31/2025,B0DG5SW8HY,B0C8PQGSGX,,CRODSJH227-B,INR,0.0,0,1,-1,0.0,-1618.1,153.4,1.0,153.4,,,,-310.75,1.0,-310.75,,,,,,,,,-1460.75,1460.75
IN,12/01/2025,12/31/2025,B0DG5SW8HY,B0C8PPB2DX,,CRODSJH227-P,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SQL88,B01LCM4Q8G,,Double Wedge01,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,5.021538,13.0,65.28,,,-65.28,
IN,12/01/2025,12/31/2025,B0DG5SQL88,B073F79LQF,,Double Wedge02,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5RZRL3,B01AW2HPWG,,DUP-Back N Belly,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLG1JLL,B07NLG1JLL,,DUP-CBHMFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLGBSH9,,DUP-CBLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLH84FM,,DUP-CBLRP227,INR,951.42,1,0,1,951.42,951.42,40.12,1.0,40.12,143.96,1.0,143.96,,,,0.0,1.0,0.0,3.0,1.0,3.0,,,764.34,764.34
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07P13BXZX,,DUP-CBRFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07NLG2RWW,B07NLG2RWW,,DUP-CBRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07P28XB3D,,DUP-CBWFFP227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SQL88,B01LCM4Q8G,,DUP-Double Wedge01,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SQL88,B073F79LQF,,DUP-Double Wedge02,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07K6FP4J9,B07HWX99VV,,DUP-FPCB227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B0721SCXNR,,DUP-FPR221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B07K6F7CPW,B07HWN7WCB,,DUP-NBB,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5S6GRX,B07P27KVCX,,DUP-PBRFP227,INR,0.0,-1,0,-1,-569.52,-569.52,,,,,,,,,,,,,2.786,10.0,27.86,,,-597.38,597.38
IN,12/01/2025,12/31/2025,B07NJ5PXXF,B07NJ5PXXF,,DUP-PFF227,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLF1PDY,,DUP-PLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5SFDJY,B07P3JZXR9,,DUP-PPELU2277,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLGWFPN,,DUP-PPLRP221,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
IN,12/01/2025,12/31/2025,B0DG5V9CB6,B07NLHP754,,DUP-PPLRP222,INR,0.0,0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
